customer_id,age,income,credit_score,purchase_amount,category,purchase_date,will_return,return_indicator
1000,56,89524.47777777778,395.0,861,1,2023-01-01,1,1.0672435782392242
1001,69,112093.0,784.0,263,3,2023-01-02,1,1.003140001096033
1002,46,119299.0,573.7368421052631,236,1,2023-01-03,1,1.0249105676964323
1003,32,149293.0,530.0,121,1,2023-01-04,1,1.1308956829020165
1004,60,52606.0,470.0,519,3,2023-01-05,0,0.0226984301219349
1005,25,147791.0,840.0,482,0,2023-01-06,0,-0.0270962262167738
1006,78,31534.0,335.0,108,1,2023-01-07,1,0.9946289348001918
1007,38,114663.0,824.0,162,0,2023-01-08,0,0.1136242317119262
1008,56,60397.0,459.0,870,1,2023-01-09,0,0.0501426757026081
1009,75,146678.0,542.0,923,0,2023-01-10,1,1.056063857882141
1010,36,111387.0,385.0,905,3,2023-01-11,1,0.8831025172683314
1011,40,21016.0,327.0,887,1,2023-01-12,0,-0.0868084225404487
1012,28,109789.0,639.0,347,3,2023-01-13,1,0.8954962384652908
1013,28,89524.47777777778,630.0,715,1,2023-01-14,0,-0.1267382301512335
1014,41,89524.47777777778,805.0,831,3,2023-01-15,1,0.961029957863342
1015,70,43247.0,573.7368421052631,172,3,2023-01-16,0,-0.0430025385849916
1016,53,44300.0,772.0,729,1,2023-01-17,1,1.073021135364438
1017,57,89524.47777777778,530.0,966,1,2023-01-18,0,-0.129122436219747
1018,41,89524.47777777778,489.0,690,1,2023-01-19,0,0.1554922676636602
1019,20,89524.47777777778,524.0,170,2,2023-01-20,0,-0.0981200335237549
1020,39,106807.0,684.0,589,0,2023-01-21,1,0.826176914885165
1021,70,32185.0,676.0,810,2,2023-01-22,0,-0.0824651327651072
1022,19,83704.0,582.0,407,2,2023-01-23,0,0.1951280085735754
1023,41,106779.0,558.0,286,3,2023-01-24,1,0.9459914862626996
1024,61,59099.0,658.0,825,1,2023-01-25,1,1.00294355116538
1025,47,28571.0,755.0,925,0,2023-01-26,0,-0.018389173772802
1026,55,143372.0,710.0,513,3,2023-01-27,0,-0.0090078633180206
1027,19,125512.0,617.0,905,2,2023-01-28,1,0.8994119946765705
1028,77,58044.0,524.0,401,1,2023-01-29,1,0.9550743958855266
1029,38,71214.0,533.0,144,3,2023-01-30,1,0.9994599891881714
1030,50,89524.47777777778,673.0,204,1,2023-01-31,1,1.1178305509822897
1031,29,134752.0,771.0,410,3,2023-02-01,1,0.7625531125140488
1032,75,68984.0,532.0,649,1,2023-02-02,0,0.1610820309392502
1033,39,60774.0,412.0,42,2,2023-02-03,1,1.0027960427026474
1034,78,22568.0,796.0,697,0,2023-02-04,0,-0.0367762782653026
1035,61,140151.0,741.0,469,2,2023-02-05,0,-0.0547723482959328
